"","Word","Group","Speaker","Rater","Natural","Intell","vowel","cons"
"96","lani","CON","CON10","Rater13",49,58,"a","alv"
"97","lani","CON","CON10","Rater14",101,101,"a","alv"
"98","lani","CON","CON10","Rater15",73,72,"a","alv"
"99","lani","CON","CON10","Rater16",80,80,"a","alv"
"100","lani","CON","CON10","Rater17",78,87,"a","alv"
"101","lani","CON","CON10","Rater18",100,101,"a","alv"
"102","lani","CON","CON10","Rater19",101,101,"a","alv"
"103","lani","CON","CON10","Rater20",77,94,"a","alv"
"104","lani","CON","CON10","Rater21",67,84,"a","alv"
"105","lani","CON","CON10","Rater22",68,83,"a","alv"
"106","lani","CON","CON10","Rater23",59,99,"a","alv"
"107","lani","CON","CON10","Rater24",96,97,"a","alv"
"108","lani","CON","CON10","Rater25",95,94,"a","alv"
"109","lani","CON","CON10","Rater26",101,74,"a","alv"
"110","lani","CON","CON10","Rater27",101,101,"a","alv"
"111","lani","CON","CON10","Rater28",76,92,"a","alv"
"112","lani","CON","CON10","Rater29",90,91,"a","alv"
"113","lani","CON","CON10","Rater30",61,57,"a","alv"
"114","lani","CON","CON10","Rater31",80,89,"a","alv"
"115","lani","CON","CON10","Rater32",101,101,"a","alv"
"116","lani","CON","CON10","Rater33",94,93,"a","alv"
"117","lani","CON","CON10","Rater34",85,84,"a","alv"
"118","lani","CON","CON10","Rater35",91,95,"a","alv"
"119","lani","CON","CON10","Rater36",85,96,"a","alv"
"120","lani","CON","CON10","Rater37",91,87,"a","alv"
"121","lani","CON","CON10","Rater38",75,93,"a","alv"
"122","lani","CON","CON10","Rater39",96,94,"a","alv"
"123","lani","CON","CON10","Rater40",60,75,"a","alv"
"124","lani","CON","CON10","Rater41",101,101,"a","alv"
"125","lani","CON","CON04","Rater1",70,101,"a","alv"
"126","lani","CON","CON04","Rater2",57,90,"a","alv"
"127","lani","CON","CON04","Rater3",40,79,"a","alv"
"128","lani","CON","CON04","Rater4",37,27,"a","alv"
"129","lani","CON","CON04","Rater5",72,46,"a","alv"
"130","lani","CON","CON04","Rater6",34,51,"a","alv"
"131","lani","CON","CON04","Rater7",66,56,"a","alv"
"132","lani","CON","CON04","Rater8",34,68,"a","alv"
"133","lani","CON","CON04","Rater9",85,94,"a","alv"
"134","lani","CON","CON04","Rater10",46,34,"a","alv"
"135","lani","CON","CON04","Rater11",101,101,"a","alv"
"136","lani","CON","CON04","Rater12",61,60,"a","alv"
"137","lani","CON","CON04","Rater13",60,68,"a","alv"
"138","lani","CON","CON04","Rater14",101,101,"a","alv"
"139","lani","CON","CON04","Rater15",101,101,"a","alv"
"140","lani","CON","CON04","Rater16",71,99,"a","alv"
"141","lani","CON","CON04","Rater17",74,86,"a","alv"
"142","lani","CON","CON04","Rater18",93,87,"a","alv"
"143","lani","CON","CON04","Rater19",57,74,"a","alv"
"144","lani","CON","CON04","Rater20",75,96,"a","alv"
"145","lani","CON","CON04","Rater21",71,41,"a","alv"
"146","lani","CON","CON04","Rater22",50,71,"a","alv"
"147","lani","CON","CON04","Rater23",85,99,"a","alv"
